seed,absolute_min_distance,target_gap_to_black,final_step,final_cv_nnd,pigment_count,yellow_fraction,red_fraction,black_fraction,order_score
17,2.0,7.0,118,0.234063775310059,177,0.3107344632768362,0.01694915254237288,0.672316384180791,1.5910255558928954
27,2.0,7.0,117,0.2434536492696287,180,0.3388888888888889,0.011111111111111112,0.65,1.6343217541298705
7,2.5,3.0,119,0.18545742758932257,178,0.33146067415730335,0.028089887640449437,0.6404494382022472,1.6749003344647977
17,2.5,3.0,118,0.19707928369940778,183,0.34972677595628415,0.04371584699453552,0.6065573770491803,1.3723424753933375
27,2.5,3.0,116,0.1948367347997509,175,0.36,0.017142857142857144,0.6228571428571429,1.7324556333006236
7,2.5,4.0,117,0.19290474430652169,185,0.35135135135135137,0.010810810810810811,0.6378378378378379,2.1089321744108753
17,2.5,4.0,118,0.19620571134888953,189,0.3492063492063492,0.031746031746031744,0.6190476190476191,1.7056031148472637
27,2.5,4.0,119,0.17079772863550555,187,0.35294117647058826,0.03208556149732621,0.6149732620320856,1.8813028749278549
7,2.5,5.0,118,0.18734156145253889,184,0.32065217391304346,0.03260869565217391,0.6467391304347826,1.753634952478237
17,2.5,5.0,117,0.1936050987703367,184,0.358695652173913,0.010869565217391304,0.6304347826086957,2.065063532683345
27,2.5,5.0,117,0.18043593602594185,186,0.34946236559139787,0.010752688172043012,0.6397849462365591,2.3286991807503195
7,2.5,6.0,119,0.18226118119563775,185,0.31891891891891894,0.032432432432432434,0.6486486486486487,1.815945862091131
17,2.5,6.0,118,0.22122572727390885,184,0.32608695652173914,0.010869565217391304,0.6630434782608695,1.9146555179856548
27,2.5,6.0,117,0.18703653946541404,181,0.3314917127071823,0.022099447513812154,0.6464088397790055,1.9228916245445735
7,2.5,7.0,114,0.1958408790545865,167,0.3473053892215569,0.011976047904191617,0.6407185628742516,1.699352676322426
17,2.5,7.0,113,0.20494705340164154,165,0.32727272727272727,0.012121212121212121,0.6606060606060606,1.7029033300015646
27,2.5,7.0,114,0.1920460885295455,163,0.3312883435582822,0.018404907975460124,0.6503067484662577,1.6042902744606597
7,3.0,3.0,115,0.15701679632221266,165,0.34545454545454546,0.01818181818181818,0.6363636363636364,1.8902588674891114
17,3.0,3.0,119,0.14819304817216603,179,0.3128491620111732,0.0335195530726257,0.6536312849162011,2.1013439684106476
27,3.0,3.0,113,0.1619896075327732,162,0.3333333333333333,0.024691358024691357,0.6419753086419753,1.76423571884613
